name,period,mass
HD 14787 b,676.6,1.121
HD 147873 b,116.596,5.14
HD 147873 c,491.54,2.3
HD 148156 b,1027,0.85
HD 148164 b,328.55,1.23
HD 148164 c,5062,5.16
HD 148427 b,331.5,0.96
HD 149026 b,2.8766,0.36
HD 149143 b,4.088,1.36
HD 150010 b,562,2.4
HD 1502 b,431.8,3.1
HD 150706 b,5894,2.71
HD 152079 b,2918.92,2.661
HD 152581 b,689,1.5
HD 153950 b,499.4,2.73
HD 154088 b,18.56,0.02077
HD 154345 b,3538,1
HD 154672 b,163.967,4.73
HD 154857 b,409,1.8
HD 154857 c,3452,2.58
HD 155193 b,352.65,0.75
HD 155233 b,885,2
HD 155358 b,194.3,0.85
HD 155358 c,391.9,0.82
HD 156279 b,133.4031,9.5
HD 156279 c,4758,9.45
HD 156411 b,842.2,0.74
HD 156668 b,4.6455,0.013
HD 156668 c,811.3,0.0991
HD 156846 b,359.5546,10.57
HD 158038 b,521,1.53
HD 158259 b,2.178,0.00698
HD 158259 c,3.432,0.01762
HD 158259 d,5.1980814,0.01702
HD 158259 e,7.951,0.01913
HD 158259 f,12.028,0.01932
HD 158996 b,820.2,14
HD 159243 b,12.62,1.13
HD 159243 c,248.4,1.9
HD 159868 b,1184.1,2.218
HD 159868 c,352.3,0.73
HD 1605 b,577.90002,1.16
HD 1605 c,2149,3.62
HD 160691 b,743,1.97
HD 160691 c,4472.967,2.423
HD 160691 d,9.6386,0.03321
HD 160691 e,310.55,0.5219
HD 161178 b,279.3,0.57
HD 16141 b,75.523,0.26
HD 16175 b,995.4,4.77
HD 162020 b,8.4282,9.84
HD 163607 b,75.29,0.77
HD 163607 c,1314,2.29
HD 16417 b,17.24,0.0696
HD 164509 b,282.4,0.48
HD 164595 b,40,0.05078
HD 164604 b,641.472,1.99792
HD 164922 b,1207,0.36497
HD 164922 c,75.817,0.0451
HD 164922 d,12.4584,0.0149
HD 164922 e,41.763,0.0331
HD 165155 b,434.5,2.89
HD 1666 b,270,6.43
HD 166724 b,5144,3.53
HD 167042 b,420.77,1.7
HD 168009 b,15.1479,0.03
HD 168443 b,58.11289,8.02
HD 168443 c,1765.8,16.87
HD 168746 b,6.4045,0.2294
HD 1690 b,533,6.1
HD 169830 b,229.9,2.94
HD 169830 c,2102,4.04
HD 170469 b,1145,0.66
HD 17092 b,359.9,4.6
HD 171028 b,550,1.98
HD 171238 b,1532,2.72
HD 17156 b,21.2167,3.16
HD 173416 b,323.6,2.7
HD 174205 b,582,4.2
HD 175167 b,1290,7.8
HD 175541 b,299.05,0.577
HD 175607 b,29.01,0.02825
HD 17674 b,623.8,0.87
HD 176986 b,6.4898,0.01806
HD 176986 c,16.8191,0.02888
HD 177565 b,44.505,0.04751
HD 177830 b,410.10001,1.69
HD 177830 c,111.163,0.104
HD 178911 B b,71.511,7.35
HD 179079 b,14.479,0.081
HD 179949 b,3.093,0.84
HD 180053 b,213.72,2.194
HD 18015 b,2278,3.18
HD 180314 b,396.03,20.13
HD 180617 b,105.911,0.03843
HD 180902 b,510.9,1.685
HD 181234 b,7504,9.1
HD 181342 b,663,3.3
HD 181433 b,9.37459,0.02335
HD 181433 c,1014.5,0.674
HD 181433 d,7012,0.612
HD 181720 b,956,0.37
HD 183263 b,635.4,3.82
HD 183263 c,5048,9
HD 185269 b,6.8399,1.03
HD 187085 b,1019.74,0.836
HD 187123 b,3.097,0.52
HD 187123 c,3810,1.99
HD 18742 b,772,2.7
HD 188015 b,462.59,1.454
HD 189567 b,14.288,0.02674
HD 189567 c,33.688,0.02202
HD 189733 b,2.22,1.14
HD 190007 b,11.72,0.05179
HD 190360 b,3902,1.33
HD 190360 c,17.1186,0.06381
HD 190647 b,1176.45,1.985
HD 190984 b,4885,3.1
HD 191806 b,1606.3,8.52
HD 191939 e,101.5,0.33981
HD 191939 f,4450,6.49722
HD 192263 b,24.4,0.78
HD 192310 b,74.72,0.0532
HD 192310 c,525.8,0.076
HD 192699 b,351.5,2.5
HD 195019 b,18.27,3.51
HD 196050 b,1378,2.9
HD 196067 b,3638,6.9
HD 19615 b,402,8.5
HD 196885 A b,1346.85,2.96
HD 197037 b,1035.7,0.79
HD 19994 b,535.7,1.68
HD 20003 b,11.8482,0.0367
HD 20003 c,33.9239,0.0454
HD 200964 b,613.8,1.85
HD 200964 c,852.5,1.214
HD 202206 c,1383.4,2.44
HD 202696 b,517.8,1.996
HD 202696 c,946.6,1.864
HD 203473 b,1552.9,7.8
HD 2039 b,1183,4.9
HD 204313 b,2024.1,4.28
HD 204313 c,34.905,0.0553
HD 204941 b,1733,0.23
HD 205739 b,279.8,1.37
HD 206255 b,96.045,0.1076
HD 206610 b,673.2,2.036
HD 20781 b,5.3135,0.0061
HD 20781 c,13.8905,0.0168
HD 20781 d,29.158,0.0334
HD 20781 e,85.5073,0.0442
HD 20782 b,597.065,1.43
HD 207832 b,161.97,0.56
HD 207832 c,1155.7,0.73
HD 20794 b,18.33,0.00887
HD 20794 c,43.17,0.00793
HD 20794 d,90.309,0.015
HD 20794 e,147.02,0.01501
HD 208487 b,130.08,0.52
HD 208527 b,875.5,9.9
HD 20868 b,380.85001,1.25
HD 208897 b,352.7,1.4
HD 209458 b,3.525,0.63
HD 210193 b,649.918,0.4817
HD 210277 b,442.943,1.236
HD 210702 b,354.8,1.9
HD 211403 b,223.8,5.54
HD 211810 b,1558,0.67
HD 211970 b,25.201,0.0409
HD 212301 b,2.245715,0.45
HD 212771 b,380.7,2.39
HD 213240 b,951,4.5
HD 213472 b,17000,3.5
HD 213885 c,4.78503,0.06277
HD 21411 b,84.288,0.20734
HD 214823 b,1877,19.2
HD 215152 b,5.75999,0.00572
HD 215152 c,7.28243,0.00541
HD 215152 d,10.86499,0.00881
HD 215152 e,25.1967,0.00905
HD 215497 b,3.93404,0.02
HD 215497 c,567.94,0.33
HD 216435 b,1391,1.26
HD 216437 b,1334.28,2.223
HD 216520 b,35.466,0.0326
HD 216520 c,154.43,0.0297
HD 216536 b,148.60001,1.05
HD 216770 b,118.45,0.57
HD 21693 b,22.6786,0.0259
HD 21693 c,53.7357,0.0547
HD 217107 b,7.1269,1.37
HD 217107 c,5189,4.513
HD 217786 b,1319,13
HD 217850 b,3501.3,21.6
HD 218566 b,225.7,0.2
HD 219077 b,5513,13.4
HD 219134 b,3.0935,0.01364
HD 219134 c,6.767,0.00875
HD 219134 d,46.859,0.05088
HD 219134 f,22.805,0.028
HD 219134 g,94.2,0.034
