# Star  v_mag   B-V
#====================
  500  20.770   0.996
  501  20.808   1.902
  502  20.830   1.060
  503  20.860   1.036
  504  20.893   1.001
  505  20.903   0.991
  506  20.909   1.048
  507  20.954   1.087
  508  20.960   0.995
  509  20.978   1.112
  510  21.016   1.082
  511  21.017   1.044
  512  21.025   1.029
  513  21.030   1.108
  514  21.102   1.095
  515  21.103   1.081
  516  21.112   1.114
  517  21.162   1.130
  518  21.164   1.128
  519  21.169   1.075
  520  21.179   1.096
  521  21.193   1.201
  522  21.195   1.081
  523  21.254   1.163
  524  21.260   1.156
  525  21.270   1.067
  526  21.309   1.178
  527  21.319   1.215
  528  21.335   1.181
  529  21.351   1.153
  530  21.360   1.155
  531  21.397   1.115
  532  21.434   1.052
  533  21.445   0.391
  534  21.471   0.522
  535  21.513   1.090
  536  21.521   1.213
  537  21.532   1.195
  538  21.560   1.209
  539  21.560   1.254
  540  21.589   1.267
  541  21.603   1.219
  542  21.615   1.310
  543  21.623   1.063
  544  21.630   1.288
  545  21.647   1.274
  546  21.651   1.179
  547  21.655   1.266
  548  21.662   1.386
  549  21.694   1.088
  550  21.721   1.244
  551  21.721   1.222
  552  21.749   1.234
  553  21.804   1.271
  554  21.847   1.183
  555  21.853   1.221
  556  21.872   1.330
  557  21.874   1.244
  558  21.893   1.169
  559  21.906   1.339
  560  21.931   1.265
  561  21.950   1.411
  562  21.992   1.265
  563  21.993   1.226
  564  22.010   1.323
  565  22.040   1.429
  566  22.062   1.319
  567  22.064   1.388
  568  22.067   1.313
  569  22.071   1.266
  570  22.085   1.386
  571  22.090   1.309
  572  22.090   1.425
  573  22.160   1.097
  574  22.166   1.362
  575  22.167   1.135
  576  22.178   1.309
  577  22.181   1.384
  578  22.182   1.391
  579  22.197   1.280
  580  22.211   1.049
  581  22.215   1.336
  582  22.220   1.335
  583  22.244   1.313
  584  22.255   1.321
  585  22.264   1.383
  586  22.295   1.305
  587  22.330   1.303
  588  22.346   1.202
  589  22.354   1.159
  590  22.356   1.286
  591  22.374   1.266
  592  22.378   1.285
  593  22.382   1.075
  594  22.416   1.371
  595  22.418   1.611
