ra,dec,z,zErr,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
16.597751,0.34543929,0.0173198,4.74179E-06,17.55513,16.76725,16.56676,16.46043,16.40037,0.01699085,0.004448441,0.004974908,0.007072483,0.03475492
16.847573,0.89271188,0.01848736,2.321286E-05,18.29285,16.67374,15.93177,15.54509,15.25775,0.03479642,0.005142284,0.004135909,0.004185084,0.009275517
16.881369,0.88976887,0.0176761,1.311095E-05,18.16087,16.52888,15.81514,15.47848,15.23514,0.02484616,0.003986606,0.003312766,0.003404514,0.006661419
16.844077,0.92596231,0.01782968,8.224083E-06,15.59339,13.82148,13.03527,12.6425,12.371,0.006286079,0.001789799,0.001667055,0.001671774,0.002124412
16.639594,-0.13384644,0.01818491,9.078705E-06,17.20029,16.06991,15.59571,15.38385,15.19798,0.03136899,0.004929076,0.004918371,0.006633773,0.01612282
17.014532,1.1453408,0.01928203,9.519044E-06,18.84798,17.82792,17.52554,17.34376,17.22404,0.05926735,0.009956612,0.01095365,0.01331921,0.04071094
17.71176,0.19814142,0.017625,1.209641E-05,16.58473,15.3207,14.76661,14.45687,14.21068,0.01404961,0.003000558,0.002797497,0.002892079,0.006906153
20.262345,0.85145792,0.008134025,5.950108E-06,17.89963,17.11282,16.88263,16.77845,16.68372,0.02033103,0.005290788,0.006359932,0.007559041,0.01906546
20.438774,1.2650266,0.01783181,4.959596E-05,19.3045,17.86914,17.173,16.85279,16.68731,0.08278188,0.01163462,0.008954945,0.009880835,0.02726232
20.452169,0.94318997,0.0192795,1.137857E-05,18.22041,16.61876,15.93089,15.58449,15.34115,0.02912544,0.004280203,0.003583672,0.003697078,0.007493417
20.032239,0.077029526,0.01857551,1.01349E-05,16.77855,15.489,14.81434,14.4779,14.16392,0.01386202,0.008041317,0.003316998,0.005442556,0.00544176
22.433301,-1.2414173,0.01731313,8.791757E-06,15.75251,13.93225,13.13891,12.75638,12.48235,0.006956135,0.001891267,0.001714969,0.001705758,0.002284672
22.244338,-0.94901133,0.01843505,8.158739E-06,15.24862,13.53632,12.69458,12.3234,12.02704,0.01996728,0.00183835,0.001659502,0.001661324,0.0022234
171.9178,3.5899633,0.0219117,5.692758E-06,18.04037,17.09525,16.83992,16.69201,16.55043,0.03537602,0.00766675,0.008907972,0.01210592,0.03721866
172.33146,3.0895371,0.01728459,1.191376E-05,18.48128,17.52816,17.22661,17.17438,16.97169,0.05966267,0.01604394,0.02639082,0.03187694,0.07305943
171.53444,2.8331247,0.02016229,9.015552E-06,19.09766,18.01834,17.68421,17.49959,17.51175,0.05863191,0.01259494,0.01826432,0.01859022,0.06868694
171.57497,2.5798306,0.02299827,9.905329E-06,18.7089,17.54971,17.29065,17.09929,17.13391,0.06523725,0.01101441,0.0134153,0.01645323,0.06860966
171.74202,2.3330277,0.0211218,5.258871E-06,18.32748,17.53029,17.36885,17.31109,17.22163,0.02067625,0.006011444,0.006958594,0.009600955,0.03116888
172.06805,2.6573554,0.02224487,4.041648E-06,17.07172,16.42765,16.40802,16.4693,17.01134,0.02436863,0.007526118,0.01009872,0.01519346,0.09975681
172.06701,2.63415,0.02282141,5.896413E-06,17.74852,16.79516,16.62771,16.57705,17.41377,0.03378371,0.00687543,0.008210935,0.01146261,0.1075679
172.0598,2.3999804,0.02285229,1.55028E-05,17.53894,16.30359,15.83046,15.60532,15.38171,0.02519608,0.005033993,0.004998005,0.006230036,0.02040892
172.40548,3.1562198,0.02258752,1.352996E-05,18.0699,16.28194,15.42223,14.94921,14.54353,0.02351831,0.003655216,0.003097293,0.002969057,0.004890397
179.8979,3.3351182,0.01973796,7.378975E-06,18.51623,17.81742,17.78933,17.87523,18.06913,0.04396897,0.01082677,0.01555948,0.02607518,0.1066922
180.33451,2.5238416,0.02097514,1.365965E-05,17.03271,15.72555,15.09924,14.76808,14.54249,0.01371151,0.002944314,0.002663777,0.002741275,0.006254214
187.56787,3.0729286,0.01365963,1.136294E-05,18.85364,17.98437,17.64386,17.38238,17.43377,0.05761853,0.0134552,0.01383902,0.01777832,0.06604019
187.55628,2.6252181,0.005439694,1.042042E-05,20.8664,19.93628,20.10788,19.77371,19.83197,0.1183436,0.02336153,0.071501,0.04608339,0.1971017
188.20739,3.2999091,0.01662258,1.691812E-05,16.61938,15.25072,14.71677,14.45526,14.31295,0.0232739,0.003480308,0.003208334,0.003870977,0.01075697
187.87533,3.1330012,0.01513589,5.768773E-06,18.46963,17.87529,17.83607,18.0221,17.85217,0.02579725,0.007705207,0.009345904,0.01668396,0.05084183
187.83593,3.1249072,0.01743314,1.533023E-05,17.9786,16.71534,16.17408,15.9057,15.69491,0.0399715,0.007805618,0.00726224,0.008901509,0.02660071
188.21063,2.7973074,0.003591096,1.434066E-05,17.50815,16.38932,15.94182,15.74775,15.64397,0.03511404,0.005942083,0.005938531,0.007587677,0.02940174
188.21349,2.6282781,0.005911012,1.106583E-05,21.10077,20.41417,19.99944,19.80929,20.40098,0.1535455,0.03671665,0.03733407,0.04797935,0.3364783
188.1506,2.6589139,0.00586651,9.201539E-06,22.57483,21.06849,21.54802,20.78314,22.80159,0.4728642,0.06091913,0.1266034,0.09130923,1.157208
188.229,3.362781,0.002525995,6.29179E-06,18.71444,17.90218,19.24876,20.28214,20.66069,0.07412571,0.01454067,0.07330899,0.3059174,1.61203
188.31083,3.2330994,0.01504352,5.573389E-06,18.32861,17.35872,17.03133,16.8922,16.76079,0.03056557,0.006591837,0.006751737,0.009340091,0.0284631
196.17454,2.9637012,0.01837974,6.841214E-06,16.76227,15.01428,14.27232,13.89499,13.6493,0.01262269,0.00251417,0.002193676,0.002250229,0.003681722
201.66158,2.3137322,0.02235525,1.879403E-05,16.36983,15.09869,14.57222,14.31379,14.18781,0.01684915,0.00360992,0.003036821,0.003442351,0.01037002
201.64007,2.1751069,0.02329328,7.109656E-06,17.00927,16.02145,15.52059,15.37912,15.82027,0.03570504,0.006821441,0.006339728,0.008318202,0.0492225
201.99826,2.994291,0.02250199,2.63673E-05,19.12739,17.86765,17.42867,17.26625,17.20051,0.08173379,0.01366511,0.01440364,0.01840022,0.1127039
201.95228,3.0903164,0.0190065,6.370891E-06,17.62791,16.62071,16.23747,16.02278,15.95222,0.02718441,0.006740529,0.007782184,0.01098334,0.0296478
201.76106,2.8477602,0.02309045,6.629802E-06,19.1702,17.59577,17.0477,16.76652,16.54205,0.05940333,0.007864885,0.006885921,0.00832709,0.02286057
201.69207,2.2438793,0.02359172,7.589706E-06,18.01879,16.9254,16.69552,16.59939,16.53288,0.05560033,0.007048099,0.01067198,0.01582773,0.0354878
202.05083,2.2784963,0.003358721,4.444483E-06,20.14007,20.0442,20.14171,20.58871,20.32439,0.05789984,0.02281632,0.03149725,0.06779038,0.2126955
202.06737,2.9826406,0.02104902,1.344196E-05,16.23903,14.89872,14.30963,14.01873,13.82083,0.01379721,0.002893665,0.002720392,0.00307426,0.006350567
202.46139,2.4059383,0.0214591,8.206456E-06,18.14128,17.10398,16.69582,16.47441,16.303,0.03472134,0.006766969,0.007161654,0.008400142,0.03344961
209.68629,2.456777,0.02408777,1.108972E-05,17.33471,15.86338,15.19847,14.85991,14.57599,0.02609519,0.004204337,0.004720162,0.005839268,0.008373651
209.45664,2.4535242,0.02401177,7.834704E-06,18.42237,17.54314,17.3759,17.32188,17.21028,0.04044761,0.008916173,0.01014355,0.01440192,0.04751046
209.69012,2.8442825,0.01634948,6.137207E-06,16.22642,14.37871,13.59132,13.19532,12.92329,0.00952615,0.002068208,0.001871897,0.001904311,0.002729014
210.17863,2.8425923,0.02451421,8.380056E-06,17.81746,16.70794,16.31269,16.17276,16.02343,0.03769337,0.006880963,0.006793812,0.009406066,0.02703691
217.33159,2.7105568,0.006001042,9.025221E-06,18.14967,16.76358,16.14091,15.84989,15.6966,0.04284389,0.006936091,0.00542082,0.006055028,0.01874464
225.06907,2.300715,0.006065526,1.008969E-05,16.36791,15.02912,14.3804,14.04987,13.77937,0.01637646,0.003659294,0.003271258,0.003811763,0.007510169
225.27901,2.0903301,0.006494026,9.723696E-05,19.46763,17.903,17.29161,17.04665,16.91603,0.1465269,0.01648501,0.01256145,0.01594724,0.05577478
225.41089,1.8701872,0.007179188,8.150855E-06,18.33974,17.07619,16.55686,16.32677,16.0992,0.07784451,0.0112795,0.01113031,0.01428671,0.04519306
225.65021,2.0276693,0.006657072,7.127467E-05,19.32825,17.68097,17.06542,16.74614,16.66637,0.1280692,0.01507078,0.01250274,0.01468253,0.04289149
225.51512,1.8405696,0.004146007,9.982727E-06,21.55314,20.391,20.29142,20.29763,19.74104,0.2173816,0.03737287,0.04135199,0.05743724,0.1294318
171.50424,1.9841431,0.02275801,1.195972E-05,15.59179,14.19745,13.51931,13.16565,12.91363,0.008266552,0.002214225,0.002027154,0.002056344,0.003555886
171.06533,2.9587255,0.02319881,5.586715E-06,17.00185,16.4038,16.23442,16.25228,16.19081,0.0130376,0.004247588,0.004328251,0.005816553,0.01610845
170.9985,2.691881,0.02295228,1.466418E-05,15.51706,14.23328,13.64086,13.34828,13.1134,0.01008862,0.002392223,0.002342948,0.002342352,0.005549367
179.78711,3.6687992,0.01088721,8.63731E-06,18.70021,17.76109,17.70274,17.70499,17.38241,0.05946806,0.01419707,0.02063919,0.02940683,0.06004798
179.23602,2.8065378,0.01968549,1.065028E-05,18.18832,17.12519,16.72868,16.56235,16.35644,0.02553175,0.009983037,0.00770266,0.01142619,0.02379721
186.74348,2.4944032,0.005644963,1.723896E-05,13.64042,12.55421,11.97079,11.8367,11.81734,0.003477136,0.001902768,0.003035605,0.004710809,0.01243354
187.06652,1.8289136,0.003041482,4.134869E-06,17.31631,16.33487,15.99071,15.86672,15.7436,0.02474173,0.0054296,0.005741302,0.008477079,0.02308268
187.41296,3.612671,0.004347973,7.1543E-06,16.5637,15.57664,15.18352,15.01193,14.91394,0.01552126,0.003557946,0.003586967,0.00479734,0.01493612
187.01332,2.9137695,0.004871002,7.180516E-06,18.88794,18.80895,18.88685,18.98038,21.02754,0.08298498,0.03186652,0.0511932,0.09091739,2.478775
187.58622,3.7401323,0.01404586,1.096994E-05,16.23332,14.72971,13.98702,13.56188,13.27244,0.01186062,0.002794462,0.002382684,0.00237664,0.004218215
187.55039,3.5777673,0.0174754,5.359621E-06,16.28944,15.59463,15.41258,15.31959,15.19137,0.01041513,0.003177854,0.003590838,0.004706178,0.01958876
187.06621,2.7008288,0.007397438,1.785006E-05,16.56235,15.39526,14.9993,14.79327,14.68594,0.01121734,0.002828968,0.002742012,0.002952866,0.007598426
187.72943,3.4918519,0.01744784,8.013171E-06,16.22321,15.17323,14.71477,14.49545,14.3009,0.009932938,0.00268087,0.002531697,0.00271643,0.005788309
195.60069,3.3758715,0.02340064,1.931362E-05,18.3708,16.65242,16.21546,15.98638,15.89126,0.1579837,0.00754582,0.007100239,0.009317943,0.02990619
195.71904,3.5489339,0.02441394,8.013276E-06,17.13345,16.01215,15.44689,15.13,14.87914,0.01183415,0.003301215,0.002934808,0.003036613,0.006093636
201.58937,2.0995965,0.003456922,6.600445E-06,18.37803,18.56701,18.71405,19.189,19.46576,0.01953464,0.009623867,0.0116405,0.02015658,0.09089439
200.96405,2.1439046,0.02242053,5.056782E-06,17.94615,16.93122,16.48409,16.2702,16.11007,0.0263608,0.005900418,0.007521458,0.008452316,0.02952076
